Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"St. Johns County, Florida",75906,113131,"9,999 or less",1008,251498.0,124445.0
"St. Lucie County, Florida",48464,125171,"9,999 or less",2451,300435.0,69800.0
"Santa Rosa County, Florida",57422,67565,"9,999 or less",548,159211.0,49170.0
"Sarasota County, Florida",54604,137716,"9,999 or less",1960,404159.0,160158.0
"Seminole County, Florida",56127,189911,"9,999 or less",1554,385371.0,154263.0
"Sumter County, Florida",49048,,"9,999 or less",,140519.0,50731.0
"Volusia County, Florida",48818,196429,"9,999 or less",1772,487913.0,132234.0
"Walton County, Florida",52467,26774,"9,999 or less",181,68412.0,23108.0
"Barrow County, Georgia",48233,37163,"9,999 or less",229,69789.0,10361.0
"Bartow County, Georgia",55307,44246,"9,999 or less",474,88759.0,22649.0
"Bibb County, Georgia",45333,47210,"9,999 or less",996,118133.0,29243.0
"Bulloch County, Georgia",44612,24466,"9,999 or less",259,67625.0,17572.0
"Carroll County, Georgia",51504,45371,"9,999 or less",427,97158.0,21428.0
"Catoosa County, Georgia",53750,,"9,999 or less",,53740.0,11412.0
"Chatham County, Georgia",51092,111854,"9,999 or less",2541,241630.0,85528.0
"Cherokee County, Georgia",64283,113023,"9,999 or less",2539,222757.0,85433.0
"Clarke County, Georgia",50558,45166,"9,999 or less",574,109042.0,42834.0
"Clayton County, Georgia",42588,107097,"9,999 or less",3960,219695.0,51643.0
"Cobb County, Georgia",66171,327469,"9,999 or less",4687,603797.0,286098.0
"Columbia County, Georgia",61775,60165,"9,999 or less",585,124487.0,42583.0
"Coweta County, Georgia",65048,57003,"9,999 or less",661,120447.0,42163.0
"DeKalb County, Georgia",60851,299440,"9,999 or less",5276,592199.0,266678.0
"Dougherty County, Georgia",42015,26194,"9,999 or less",1007,62839.0,12482.0
"Douglas County, Georgia",51616,61015,"9,999 or less",859,112073.0,33762.0
"Effingham County, Georgia",54795,,"9,999 or less",,52322.0,14039.0
"Fayette County, Georgia",69482,45655,"9,999 or less",333,95984.0,44185.0
"Floyd County, Georgia",44881,33859,"9,999 or less",589,77507.0,20845.0
"Forsyth County, Georgia",85447,109224,"9,999 or less",1829,204046.0,103499.0
"Fulton County, Georgia",77013,453952,"9,999 or less",5346,856803.0,470751.0
"Glynn County, Georgia",50973,28555,"9,999 or less",429,68463.0,21754.0
"Gwinnett County, Georgia",51819,386795,"9,999 or less",6853,731045.0,250045.0
"Hall County, Georgia",51175,76124,"9,999 or less",1307,166387.0,45354.0
"Henry County, Georgia",52302,97774,"9,999 or less",2129,191306.0,59022.0
"Houston County, Georgia",51403,64007,"9,999 or less",501,128435.0,38421.0
"Jackson County, Georgia",54796,34503,"9,999 or less",901,66461.0,16086.0
"Liberty County, Georgia",46574,,"9,999 or less",,50006.0,9166.0
"Lowndes County, Georgia",47663,40630,"9,999 or less",717,91065.0,23404.0
"Muscogee County, Georgia",43402,66158,"9,999 or less",1779,151870.0,38980.0
"Newton County, Georgia",50442,45052,"9,999 or less",1281,90194.0,20506.0
"Paulding County, Georgia",55729,73566,"9,999 or less",959,137008.0,33969.0
"Richmond County, Georgia",41852,69855,"9,999 or less",1864,159000.0,35445.0
"Rockdale County, Georgia",56796,,"9,999 or less",,73686.0,24716.0
"Spalding County, Georgia",46051,,"9,999 or less",,53653.0,8610.0
"Troup County, Georgia",47407,,"9,999 or less",,53533.0,13084.0
"Walker County, Georgia",42303,,"9,999 or less",,54457.0,9522.0
"Walton County, Georgia",56392,36237,"9,999 or less",72,81613.0,19925.0
"Whitfield County, Georgia",45041,38867,"9,999 or less",711,78530.0,15321.0
